title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
2849,Return of the Blossoming Blade,ACTION,"LICO,Biga",FRIDAY,39,329718,9.84,8666758,1025549,ONGOING,False,"When Cheongmyeong of the Mount Hua Sect awakens a hundred years in the future, his last memories are of a bloody battle against the Leader of the Demonic Cult, the evil Cheonma. The battle almost saw the end of the Ten Great Sects of ancient China, when Cheongmyeong ended the hard-fought struggle by striking down Cheonma. Soon after, he succumbed to his wounds, filled with regret at their pyrrhic victory. All is not lost, however, as he awakens to his second chance at life. Shocked to find his beloved Mount Hua Sect reduced to a mere shadow of itself in the present day, Cheongmyeong embarks on a journey to restore Mount Hua to its former glory. 
"
2833,"Take Me, I'm Yours",DRAMA,"RoseBean,One Punch Rabbit",THURSDAY,39,219000,9.52,3383654,390394,ONGOING,False,"Have you ever had a ghost as a roommate? That’s the situation that confronts Chanyang Jeong when a haunting turns into a homestay. The “ghost” in question is actually Jian Nam, heir to the Baekgyeong Group, who’s currently in a coma after a suspicious accident. Jian needs to remain near Chanyang for three months to find out if he can wake up from the coma, so the two are forced to cohabitate. Can Chanyang uncover the truth behind Jian’s accident, and endure living with her unexpected guest for three months?
"
2832,Eaternal Nocturnal,ROMANCE,instantmiso,THURSDAY,17,862102,9.82,18847694,1716952,ONGOING,False,"The man of her dreams does exist… too bad she can’t fall asleep. When Eve is visited one night by a mysterious apparition, she finds that her chronic insomnia is miraculously cured. Meanwhile Dae, the dream eater, finds himself unexpectedly and unwillingly drawn to Eve. This can either be a dream come true or their worst nightmare."
2819,The Eagle and the Snake,ACTION,Angel Tovar,MONDAY,27,112872,9.63,1416364,167116,ONGOING,False,"Abel's crew has pulled off daring heists around the world -- too bad he doesn't get to keep any of the money. Every dollar goes to the lords of crime who hold his brother hostage, and Abel has no choice but to fulfill their every demand. But when a dangerous woman enters his life and old debts are due, how far will he go to save the only family he has left?"
2813,Illuminated,TIPTOON,"Rachel Song,Maria Nguyen,WmW",SATURDAY,4,111421,9.34,872514,133442,COMPLETED,False,A WEBTOON x 88rising memoir series that spotlights the experiences of Asian women in entertainment and how we can help #StopAsianHate together.
2810,All of Us Are Dead,THRILLER,Joo Dong-geun,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",9,375530,9.26,12115108,916997,COMPLETED,True,"Life at Hyosan High School is nothing special… until the students realize they’re in ground zero of a deadly virus that turns its victims into flesh-eating monsters. As the virus tears through their schoolmates in a matter of hours, they realize they have nowhere to run. Trapped in their high school with zombified versions of their friends and teachers, they must find a way to fight -- and escape with their lives."
2807,Straylight Tiger,SF,flying-frappe,FRIDAY,10,145829,9.53,1081689,126747,ONGOING,False,"When humans can shift into animals, manipulate elemental powers, or possess weapons created from otherworldly metals, things undoubtedly escalate quickly. Still, as an extremist cult emerges to dominate the one city that unites the three species, a powerful corporation recruits a secret task force to challenge them."
2772,Tales of Greed,THRILLER,"Juin Kim,Taejun Pak Webtoon Company",SATURDAY,39,183931,9.41,5092174,657169,COMPLETED,False,"Every person has something they desire, whether it’s beauty, wealth, or power. Depending on what you’re willing to risk, you could have anything your heart desires. You could be beautiful with the swipe of an app or become anyone with the press of a button -- but it all comes with a price. How far would you be willing to go to get what you wish for?
"
2767,She's Hopeless,DRAMA,Seokwoo,SATURDAY,44,815072,9.61,26866147,2978585,ONGOING,False,"Though she comes from a rich family, Gabin is a bullied loner at school. That doesn't mean she puts up with bullying from other students, though -- Gabin is infamous for her fierce personality. Worried about Gabin's well-being, her family secretly offers Tae-ung $500,000 to transfer schools and act as her bodyguard. Will Tae-ung be able to protect her from the school bullies, all while keeping his identity hidden from Gabin and the other students?"
2765,Half-Ghost,ROMANCE,Sejung,SUNDAY,44,280314,9.75,8078016,1295286,ONGOING,False,"Can she see them or not? Hayeon has always felt something creepy near her. She knows ghosts exist, but she can’t really see them. She suddenly meets a boy who not only sees them but fights with them? Hu-an Lee isn’t your average student. He’s a half-ghost. He knows there’s something different about Hayeon, but he can’t seem to figure out what. No one can. Human or ghosts!"
